game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url
0028400496,1985-01-26,CHI vs. ATL,W,117,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400494,1985-01-25,CHI vs. SEA,W,93,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400478,1985-01-22,CHI vs. POR,W,123,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400461,1985-01-19,CHI @ IND,L,107,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400450,1985-01-17,CHI vs. CLE,W,98,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400447,1985-01-16,CHI @ NJN,L,94,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400433,1985-01-14,CHI vs. DEN,W,122,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400422,1985-01-12,CHI @ CLE,L,98,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400413,1985-01-11,CHI vs. NYK,W,113,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400407,1985-01-09,CHI @ BOS,L,108,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400381,1985-01-05,CHI @ NYK,L,113,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400379,1985-01-04,CHI vs. MIL,W,106,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400365,1985-01-02,CHI @ ATL,L,107,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400356,1984-12-29,CHI vs. ATL,L,101,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400340,1984-12-27,CHI vs. CLE,W,112,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400317,1984-12-22,CHI vs. BOS,W,110,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400305,1984-12-20,CHI @ ATL,W,132,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400293,1984-12-18,CHI vs. HOU,L,96,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400278,1984-12-15,CHI vs. PHL,L,102,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400274,1984-12-14,CHI @ NJN,L,109,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400256,1984-12-12,CHI @ DET,L,95,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400249,1984-12-11,CHI vs. DET,L,101,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400234,1984-12-08,CHI vs. DAL,W,99,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400228,1984-12-07,CHI vs. NYK,W,95,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400214,1984-12-04,CHI vs. NJN,W,112,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400206,1984-12-02,CHI @ LAL,W,113,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400189,1984-11-30,CHI @ LAC,W,104,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400187,1984-11-29,CHI @ PHX,L,95,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400171,1984-11-27,CHI @ GOS,L,103,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400163,1984-11-24,CHI @ POR,L,131,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400149,1984-11-23,CHI @ SEA,W,113,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400140,1984-11-21,CHI @ MIL,L,98,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400130,1984-11-19,CHI vs. IND,L,120,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400121,1984-11-17,CHI vs. PHL,L,100,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400108,1984-11-15,CHI vs. BOS,L,105,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400097,1984-11-13,CHI vs. SAN,W,120,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400083,1984-11-10,CHI @ IND,W,118,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400072,1984-11-08,CHI @ NYK,W,121,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400065,1984-11-07,CHI @ DET,W,122,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400035,1984-11-01,CHI @ DEN,L,113,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400025,1984-10-30,CHI @ KCK,W,109,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400019,1984-10-29,CHI vs. MIL,W,116,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400013,1984-10-27,CHI @ MIL,L,106,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
0028400005,1984-10-26,CHI vs. WAS,W,109,,1985,https://www.nba.com/stats/teams/boxscores?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741
